WD23CD,WD23NM,WD23NMW,UK_IMD_E_score,original_decile,E_expanded_decile,UK_IMD_E_rank,UK_IMD_E_pop_decile,UK_IMD_E_pop_quintile,total_Population
E05000932,Ainsdale, ,4.417,2,2,4888.0,2,1,12676.0
E05000933,Birkdale, ,6.115,4,4,14967.0,4,2,12700.0
E05000934,Blundellsands, ,5.083,5,5,20242.5,5,3,11464.0
E05000935,Cambridge, ,12.53,1,1,2703.0,1,1,12466.0
E05000936,Church, ,15.531,1,1,734.0,1,1,12198.0
E05000937,Derby, ,29.871,1,1,290.0,1,1,13244.0
E05000938,Duke's, ,7.398,1,1,1221.0,1,1,14447.0
E05000939,Ford, ,19.704,1,1,1111.0,1,1,12609.0
E05000940,Harington, ,4.112,7,7,26011.5,7,4,11475.0
E05000941,Kew, ,9.503,3,3,9545.0,3,2,14337.0
E05000942,Linacre, ,58.097,1,1,167.0,1,1,13734.0
E05000943,Litherland, ,18.99,1,1,619.0,1,1,12420.0
E05000944,Manor, ,5.959,2,2,4602.0,2,1,12731.0
E05000945,Meols, ,6.265,4,4,17149.5,5,3,12092.0
E05000946,Molyneux, ,9.073,4,4,13153.5,4,2,12550.0
E05000947,Netherton and Orrell, ,21.29,1,1,1071.0,1,1,12968.0
E05000948,Norwood, ,12.663,1,1,3830.0,1,1,14780.0
E05000949,Park, ,7.392,2,2,8468.5,3,2,11789.0
E05000950,Ravenmeols, ,4.461,6,6,21998.0,6,3,12286.0
E05000951,St Oswald, ,11.681,1,1,1370.0,1,1,11196.0
E05000952,Sudell, ,8.154,4,4,17102.0,5,3,13525.0
E05000953,Victoria, ,5.959,2,2,6195.0,2,1,13340.0
E05000954,Bebington, ,7.59,3,3,9026.0,3,2,15304.0
E05000955,Bidston and St James, ,19.606,1,1,93.0,1,1,16050.0
E05000956,Birkenhead and Tranmere, ,28.04,1,1,110.0,1,1,16586.0
E05000957,Bromborough, ,10.788,1,1,1135.0,1,1,16556.0
E05000958,Clatterbridge, ,4.772,3,3,11237.0,3,2,13854.0
E05000959,Claughton, ,12.846,1,1,110.0,1,1,14729.0
E05000960,Eastham, ,6.971,2,2,5905.0,2,1,14377.0
E05000961,"Greasby, Frankby and Irby", ,5.922,3,3,11055.0,3,2,14206.0
E05000962,Heswall, ,2.97,6,6,24074.0,6,3,13325.0
E05000963,Hoylake and Meols, ,4.642,4,4,13772.0,4,2,13037.0
E05000964,Leasowe and Moreton East, ,10.804,1,1,693.0,1,1,15082.0
E05000965,Liscard, ,18.308,1,1,414.0,1,1,15581.0
E05000966,Moreton West and Saughall Massie, ,12.528,1,1,2527.0,1,1,13904.0
E05000967,New Brighton, ,14.791,1,1,2991.0,1,1,14502.0
E05000968,Oxton, ,12.489,1,1,219.0,1,1,13620.0
E05000969,Pensby and Thingwall, ,3.847,5,5,17461.0,5,3,12890.0
E05000970,Prenton, ,2.982,1,1,913.0,1,1,14604.0
E05000971,Rock Ferry, ,7.59,1,1,282.0,1,1,15388.0
E05000972,Seacombe, ,21.711,1,1,203.0,1,1,15203.0
E05000973,Upton, ,9.96,1,1,724.0,1,1,16659.0
E05000974,Wallasey, ,9.32,4,4,15169.0,4,2,14509.0
E05000975,West Kirby and Thurstaston, ,4.956,2,2,6477.5,2,1,12487.0
E05000976,Central, ,13.541,1,1,776.0,1,1,12051.0
E05000977,Cudworth, ,18.406,1,1,1695.0,1,1,11625.0
E05000978,Darfield, ,12.713,1,1,2764.0,1,1,10962.0
E05000979,Darton East, ,9.384,3,3,9726.0,3,2,11441.0
E05000980,Darton West, ,6.545,4,4,14301.0,4,2,11104.0
E05000981,Dearne North, ,27.43,1,1,984.0,1,1,12164.0
E05000982,Dearne South, ,17.841,1,1,1226.0,1,1,12657.0
E05000983,Dodworth, ,7.702,2,2,7584.0,2,1,10573.0
E05000984,Hoyland Milton, ,13.273,2,2,4932.0,2,1,12023.0
E05000985,Kingstone, ,20.793,1,1,776.0,1,1,11428.0
E05000986,Monk Bretton, ,15.614,1,1,1919.0,1,1,12051.0
E05000987,North East, ,21.108,1,1,3957.0,1,1,13788.0
E05000988,Old Town, ,7.702,1,1,3000.0,1,1,10554.0
E05000989,Penistone East, ,6.24,3,3,11912.0,3,2,11689.0
E05000990,Penistone West, ,3.991,3,3,12815.0,4,2,13367.0
E05000991,Rockingham, ,13.273,2,2,6529.0,2,1,11084.0
E05000992,Royston, ,13.475,1,1,3864.0,1,1,11432.0
E05000993,St Helens, ,30.15,1,1,922.0,1,1,11236.0
E05000994,Stairfoot, ,14.442,1,1,1837.5,1,1,12908.0
E05000995,Wombwell, ,12.713,1,1,2336.0,1,1,12621.0
E05000996,Worsbrough, ,21.949,1,1,928.0,1,1,9724.0
E05001067,Birtley, ,15.016,2,2,4781.0,2,1,8365.0
E05001068,Blaydon, ,15.474,1,1,3712.0,1,1,9974.0
E05001069,Bridges, ,24.266,1,1,659.0,1,1,9467.0
E05001071,Chowdene, ,7.59,1,1,3581.0,1,1,8684.0
E05001072,Crawcrook and Greenside, ,7.728,3,3,9976.5,3,2,9179.0
E05001073,Deckham, ,12.544,1,1,1099.0,1,1,9467.0
E05001074,Dunston and Teams, ,25.058,1,1,1167.0,1,1,8597.0
E05001075,Dunston Hill and Whickham East, ,4.891,3,3,10557.0,3,2,8778.0
E05001076,Felling, ,29.56,1,1,659.0,1,1,8927.0
E05001077,High Fell, ,10.494,1,1,710.0,1,1,9313.0
E05001078,Lamesley, ,17.943,1,1,3038.5,1,1,10141.0
E05001079,Lobley Hill and Bensham, ,7.939,1,1,1167.0,1,1,10255.0
E05001080,Low Fell, ,5.216,4,4,13611.0,4,2,8404.0
E05001081,Pelaw and Heworth, ,10.046,2,2,8326.0,2,1,8599.0
E05001082,"Ryton, Crookhill and Stella", ,8.365,3,3,12396.0,3,2,8824.0
E05001083,Saltwell, ,25.862,2,2,5038.0,2,1,10150.0
E05001084,Wardley and Leam Lane, ,10.046,2,2,5822.5,2,1,7977.0
E05001085,Whickham North, ,4.891,2,2,8756.0,3,2,7651.0
E05001086,Whickham South and Sunniside, ,4.689,4,4,15457.5,4,2,8157.0
E05001087,Windy Nook and Whitehills, ,11.319,1,1,710.0,1,1,9419.0
E05001088,Winlaton and High Spen, ,10.296,2,2,4913.0,2,1,8532.0
E05001115,Battle Hill, ,5.898,3,3,10178.0,3,2,10710.0
E05001116,Benton, ,6.117,2,2,6243.5,2,1,10162.0
E05001117,Camperdown, ,4.864,2,2,6826.0,2,1,10616.0
E05001118,Chirton, ,26.277,1,1,510.0,1,1,11820.0
E05001119,Collingwood, ,4.926,2,2,6753.0,2,1,11393.0
E05001120,Cullercoats, ,3.083,4,4,15180.0,4,2,9452.0
E05001121,Howdon, ,27.524,2,2,4609.0,2,1,11117.0
E05001122,Killingworth, ,4.864,3,3,11229.0,3,2,11964.0
E05001123,Longbenton, ,8.071,2,2,5158.0,2,1,11726.0
E05001124,Monkseaton North, ,2.223,7,7,26157.0,7,4,9126.0
E05001125,Monkseaton South, ,3.642,4,4,15361.0,4,2,9643.0
E05001126,Northumberland, ,10.009,3,3,9269.0,3,2,9756.0
E05001127,Preston, ,6.77,1,1,3378.0,1,1,8010.0
E05001128,Riverside, ,12.687,1,1,829.0,1,1,12011.0
E05001129,St Mary's, ,2.223,9,9,38164.0,10,5,8804.0
E05001130,Tynemouth, ,1.529,1,1,3378.0,1,1,10356.0
E05001131,Valley, ,6.802,3,3,8883.5,3,2,13980.0
E05001132,Wallsend, ,15.436,1,1,2925.0,1,1,10302.0
E05001133,Weetslade, ,4.479,4,4,14114.5,4,2,10157.0
E05001134,Whitley Bay, ,3.992,2,2,5445.0,2,1,9382.0
E05001135,Beacon and Bents, ,24.185,1,1,549.0,1,1,9013.0
E05001136,Bede, ,27.408,1,1,1618.0,1,1,7654.0
E05001137,Biddick and All Saints, ,27.408,1,1,1467.5,1,1,8961.0
E05001138,Boldon Colliery, ,6.372,1,1,2616.0,1,1,9231.0
E05001139,Cleadon and East Boldon, ,3.475,9,9,36386.0,9,5,8527.0
E05001140,Cleadon Park, ,18.305,1,1,2422.0,1,1,7684.0
E05001141,Fellgate and Hedworth, ,9.967,2,2,5284.0,2,1,7246.0
